kwh_credit_primary_key,satellite,bill_start,bill_end,kwh_credit_applied,kwh_credit_applied_value,kwh_credit_type,production_period,customer,identifier,discount,kwh_credit_primary_key_unique_check,entry
10017241497_43615_43644_43668_credits_000001,10017241497,5/30/2019,6/28/2019,642,-51.23,credits,7/22/2019,CUST-00547,10017241497_43615_43644_43668_credits,10.00%,1,41
10017300129_43615_43647_43668_credits_000001,10017300129,5/30/2019,7/1/2019,765,-73.1,credits,7/22/2019,CUST-00550,10017300129_43615_43647_43668_credits,10.00%,1,42
10017300384_43615_43647_43668_credits_000001,10017300384,5/30/2019,7/1/2019,283,-19.69,credits,7/22/2019,CUST-00551,10017300384_43615_43647_43668_credits,10.00%,1,43
10017300558_43615_43647_43668_credits_000001,10017300558,5/30/2019,7/1/2019,1085,-102.45,credits,7/22/2019,CUST-00552,10017300558_43615_43647_43668_credits,10.00%,1,44
10017300574_43615_43647_43668_credits_000001,10017300574,5/30/2019,7/1/2019,789,-64,credits,7/22/2019,CUST-00553,10017300574_43615_43647_43668_credits,10.00%,1,45
10017304477_43615_43643_43668_credits_000001,10017304477,5/30/2019,6/27/2019,597,-57.09,credits,7/22/2019,CUST-00557,10017304477_43615_43643_43668_credits,10.00%,1,46
10028107703_43615_43641_43668_credits_000001,10028107703,5/30/2019,6/25/2019,244,-23.26,credits,7/22/2019,CUST-00669,10028107703_43615_43641_43668_credits,10.00%,1,47
10028107703_43615_43641_43668_credits_000002,10028107703,5/30/2019,6/25/2019,244,-23.26,credits,7/22/2019,CUST-00669,10028107703_43615_43641_43668_credits,10.00%,2,48
10032738493_43615_43643_43668_credits_000001,10032738493,5/30/2019,6/27/2019,1125,-107.56,credits,7/22/2019,CUST-00559,10032738493_43615_43643_43668_credits,10.00%,1,49
10037017943_43615_43644_43668_credits_000001,10037017943,5/30/2019,6/28/2019,640,-49.95,credits,7/22/2019,CUST-00540,10037017943_43615_43644_43668_credits,10.00%,1,50
10039817548_43615_43643_43668_credits_000001,10039817548,5/30/2019,6/27/2019,1561,-149.26,credits,7/22/2019,CUST-00563,10039817548_43615_43643_43668_credits,10.00%,1,51
10039859102_43615_43643_43668_credits_000001,10039859102,5/30/2019,6/27/2019,1019,-96.24,credits,7/22/2019,CUST-00564,10039859102_43615_43643_43668_credits,10.00%,1,52
10041458703_43615_43643_43668_credits_000001,10041458703,5/30/2019,6/27/2019,396,-37.43,credits,7/22/2019,CUST-00789,10041458703_43615_43643_43668_credits,10.00%,1,53
10041806182_43615_43643_43668_credits_000001,10041806182,5/30/2019,6/27/2019,841,-80.4,credits,7/22/2019,CUST-00565,10041806182_43615_43643_43668_credits,10.00%,1,54
10042183938_43615_43644_43668_credits_000001,10042183938,5/30/2019,6/28/2019,495,-47.41,credits,7/22/2019,CUST-00566,10042183938_43615_43644_43668_credits,10.00%,1,55
10046368063_43615_43644_43668_credits_000001,10046368063,5/30/2019,6/28/2019,1266,-121.22,credits,7/22/2019,CUST-00567,10046368063_43615_43644_43668_credits,10.00%,1,56
10046368063_43615_43644_43668_credits_000002,10046368063,5/30/2019,6/28/2019,1266,-121.22,credits,7/22/2019,CUST-00567,10046368063_43615_43644_43668_credits,10.00%,2,57
10010755170_43616_43644_43668_credits_000001,10010755170,5/31/2019,6/28/2019,428,-41.1,credits,7/22/2019,CUST-00755,10010755170_43616_43644_43668_credits,10.00%,1,58
10041483354_43616_43646_43668_credits_000001,10041483354,5/31/2019,6/30/2019,1378,-131.62,credits,7/22/2019,CUST-00747,10041483354_43616_43646_43668_credits,10.00%,1,59
10010942430_43616_43647_43668_credits_000001,10010942430,5/31/2019,7/1/2019,810,-64.97,credits,7/22/2019,CUST-00534,10010942430_43616_43647_43668_credits,10.00%,1,60
10013732887_43616_43643_43668_credits_000001,10013732887,5/31/2019,6/27/2019,408,-39.13,credits,7/22/2019,CUST-00408,10013732887_43616_43643_43668_credits,10.00%,1,61
10013763940_43616_43643_43668_credits_000001,10013763940,5/31/2019,6/27/2019,159,-15.29,credits,7/22/2019,CUST-00544,10013763940_43616_43643_43668_credits,10.00%,1,62
10016044272_43616_43647_43668_credits_000001,10016044272,5/31/2019,7/1/2019,1682,-161.11,credits,7/22/2019,CUST-00414,10016044272_43616_43647_43668_credits,10.00%,1,63
10016116690_43616_43646_43668_credits_000001,10016116690,5/31/2019,6/30/2019,321,-30.67,credits,7/22/2019,CUST-00538,10016116690_43616_43646_43668_credits,10.00%,1,64
10030518137_43616_43644_43668_credits_000001,10030518137,5/31/2019,6/28/2019,414,-39.73,credits,7/22/2019,CUST-00714,10030518137_43616_43644_43668_credits,10.00%,1,65
10033130427_43616_43644_43668_credits_000001,10033130427,5/31/2019,6/28/2019,591,-46.9,credits,7/22/2019,CUST-00706,10033130427_43616_43644_43668_credits,10.00%,1,66
10035641462_43616_43647_43668_credits_000001,10035641462,5/31/2019,7/1/2019,212,-20.35,credits,7/22/2019,CUST-00489,10035641462_43616_43647_43668_credits,10.00%,1,67
10039513394_43616_43644_43668_credits_000001,10039513394,5/31/2019,6/28/2019,291,-27.95,credits,7/22/2019,CUST-00693,10039513394_43616_43644_43668_credits,10.00%,1,68
10046417613_43616_43644_43668_credits_000001,10046417613,5/31/2019,6/28/2019,579,-55.58,credits,7/22/2019,CUST-00542,10046417613_43616_43644_43668_credits,10.00%,1,69
10048255854_43616_43644_43668_credits_000001,10048255854,5/31/2019,6/28/2019,195,-18.73,credits,7/22/2019,CUST-00716,10048255854_43616_43644_43668_credits,10.00%,1,70
10048456742_43616_43644_43668_credits_000001,10048456742,5/31/2019,6/28/2019,390,-37.45,credits,7/22/2019,CUST-00445,10048456742_43616_43644_43668_credits,10.00%,1,71
10015595605_43617_43648_43668_credits_000001,10015595605,6/1/2019,7/2/2019,1211,-116.59,credits,7/22/2019,CUST-00721,10015595605_43617_43648_43668_credits,10.00%,1,72
10015724940_43617_43647_43668_credits_000001,10015724940,6/1/2019,7/1/2019,470,-45.15,credits,7/22/2019,CUST-00410,10015724940_43617_43647_43668_credits,10.00%,1,73
10015781148_43617_43648_43668_credits_000001,10015781148,6/1/2019,7/2/2019,279,-26.86,credits,7/22/2019,CUST-00704,10015781148_43617_43648_43668_credits,10.00%,1,74
10015967671_43617_43643_43668_credits_000001,10015967671,6/1/2019,6/27/2019,549,-52.82,credits,7/22/2019,CUST-00411,10015967671_43617_43643_43668_credits,10.00%,1,75
10016042458_43617_43647_43668_credits_000001,10016042458,6/1/2019,7/1/2019,1078,-103.52,credits,7/22/2019,CUST-00412,10016042458_43617_43647_43668_credits,10.00%,1,76
10016042599_43617_43647_43668_credits_000001,10016042599,6/1/2019,7/1/2019,895,-85.95,credits,7/22/2019,CUST-00413,10016042599_43617_43647_43668_credits,10.00%,1,77
10017242354_43617_43647_43668_credits_000001,10017242354,6/1/2019,7/1/2019,763,-60.94,credits,7/22/2019,CUST-00548,10017242354_43617_43647_43668_credits,10.00%,1,78
10018675982_43617_43648_43668_credits_000001,10018675982,6/1/2019,7/2/2019,137,-13.19,credits,7/22/2019,CUST-00427,10018675982_43617_43648_43668_credits,10.00%,1,79
10018678374_43617_43648_43668_credits_000001,10018678374,6/1/2019,7/2/2019,676,-65.09,credits,7/22/2019,CUST-00429,10018678374_43617_43648_43668_credits,10.00%,1,80
10038296728_43617_43643_43668_credits_000001,10038296728,6/1/2019,6/27/2019,706,-67.9,credits,7/22/2019,CUST-00561,10038296728_43617_43643_43668_credits,10.00%,1,81
10046714704_43617_43647_43668_credits_000001,10046714704,6/1/2019,7/1/2019,414,-39.76,credits,7/22/2019,CUST-00422,10046714704_43617_43647_43668_credits,10.00%,1,82
10047176580_43617_43647_43668_credits_000001,10047176580,6/1/2019,7/1/2019,399,-32.57,credits,7/22/2019,CUST-00423,10047176580_43617_43647_43668_credits,10.00%,1,83
10013409726_43618_43648_43668_credits_000001,10013409726,6/2/2019,7/2/2019,17,-1.65,credits,7/22/2019,CUST-00403,10013409726_43618_43648_43668_credits,10.00%,1,84
10015261810_43618_43644_43668_credits_000001,10015261810,6/2/2019,6/28/2019,913,-73.07,credits,7/22/2019,CUST-00536,10015261810_43618_43644_43668_credits,10.00%,1,85
10015262131_43618_43644_43668_credits_000001,10015262131,6/2/2019,6/28/2019,294,-28.39,credits,7/22/2019,CUST-00537,10015262131_43618_43644_43668_credits,10.00%,1,86
10013338529_43620_43647_43668_credits_000001,10013338529,6/4/2019,7/1/2019,314,-30.26,credits,7/22/2019,CUST-00401,10013338529_43620_43647_43668_credits,10.00%,1,87
10013406292_43620_43647_43668_credits_000001,10013406292,6/4/2019,7/1/2019,1669,-161.02,credits,7/22/2019,CUST-00402,10013406292_43620_43647_43668_credits,10.00%,1,88
10013466403_43620_43647_43668_credits_000001,10013466403,6/4/2019,7/1/2019,574,-55.36,credits,7/22/2019,CUST-00404,10013466403_43620_43647_43668_credits,10.00%,1,89
10013669683_43620_43649_43668_credits_000001,10013669683,6/4/2019,7/3/2019,643,-62.35,credits,7/22/2019,CUST-00405,10013669683_43620_43649_43668_credits,10.00%,1,90
10013730535_43620_43649_43668_credits_000001,10013730535,6/4/2019,7/3/2019,605,-58.65,credits,7/22/2019,CUST-00406,10013730535_43620_43649_43668_credits,10.00%,1,91
10013730741_43620_43649_43668_credits_000001,10013730741,6/4/2019,7/3/2019,1123,-108.89,credits,7/22/2019,CUST-00407,10013730741_43620_43649_43668_credits,10.00%,1,92
10014050719_43620_43647_43668_credits_000001,10014050719,6/4/2019,7/1/2019,350,-28.01,credits,7/22/2019,CUST-00409,10014050719_43620_43647_43668_credits,10.00%,1,93
10028818606_43620_43647_43668_credits_000001,10028818606,6/4/2019,7/1/2019,290,-23.23,credits,7/22/2019,CUST-00415,10028818606_43620_43647_43668_credits,10.00%,1,94
10030263858_43620_43649_43668_credits_000001,10030263858,6/4/2019,7/3/2019,787,-76.31,credits,7/22/2019,CUST-00416,10030263858_43620_43649_43668_credits,10.00%,1,95
10032762154_43620_43647_43668_credits_000001,10032762154,6/4/2019,7/1/2019,165,-15.91,credits,7/22/2019,CUST-00682,10032762154_43620_43647_43668_credits,10.00%,1,96
10033807925_43620_43647_43668_credits_000001,10033807925,6/4/2019,7/1/2019,32,-3.08,credits,7/22/2019,CUST-00417,10033807925_43620_43647_43668_credits,10.00%,1,97
10034410943_43620_43648_43668_credits_000001,10034410943,6/4/2019,7/2/2019,290,-28.05,credits,7/22/2019,CUST-00431,10034410943_43620_43648_43668_credits,10.00%,1,98
10037778791_43620_43647_43668_credits_000001,10037778791,6/4/2019,7/1/2019,525,-50.65,credits,7/22/2019,CUST-00419,10037778791_43620_43647_43668_credits,10.00%,1,99
10040625377_43620_43648_43668_credits_000001,10040625377,6/4/2019,7/2/2019,507,-49.03,credits,7/22/2019,CUST-00432,10040625377_43620_43648_43668_credits,10.00%,1,100
10041382036_43620_43647_43668_credits_000001,10041382036,6/4/2019,7/1/2019,111,-10.71,credits,7/22/2019,CUST-00682,10041382036_43620_43647_43668_credits,10.00%,1,101
10042630458_43620_43647_43668_credits_000001,10042630458,6/4/2019,7/1/2019,343,-33.09,credits,7/22/2019,CUST-00676,10042630458_43620_43647_43668_credits,10.00%,1,102
10042807635_43620_43647_43668_credits_000001,10042807635,6/4/2019,7/1/2019,178,-17.17,credits,7/22/2019,CUST-00420,10042807635_43620_43647_43668_credits,10.00%,1,103
10043137172_43620_43647_43668_credits_000001,10043137172,6/4/2019,7/1/2019,266,-25.66,credits,7/22/2019,CUST-00421,10043137172_43620_43647_43668_credits,10.00%,1,104
10043813707_43620_43648_43668_credits_000001,10043813707,6/4/2019,7/2/2019,469,-45.36,credits,7/22/2019,CUST-00433,10043813707_43620_43648_43668_credits,10.00%,1,105
10010148541_43620_43648_43668_credits_000001,10010148541,6/4/2019,7/2/2019,526,-50.87,credits,7/22/2019,CUST-00781,10010148541_43620_43648_43668_credits,10.00%,1,106
10016536178_43621_43650_43668_credits_000001,10016536178,6/5/2019,7/4/2019,611,-58.95,credits,7/22/2019,CUST-00750,10016536178_43621_43650_43668_credits,10.00%,1,107
10048109580_43621_43648_43668_credits_000001,10048109580,6/5/2019,7/2/2019,157,-15.18,credits,7/22/2019,CUST-00738,10048109580_43621_43648_43668_credits,10.00%,1,108
10016373275_43621_43648_43668_credits_000001,10016373275,6/5/2019,7/2/2019,88,-8.5,credits,7/22/2019,CUST-00699,10016373275_43621_43648_43668_credits,10.00%,1,109
10016536228_43621_43650_43668_credits_000001,10016536228,6/5/2019,7/4/2019,493,-47.55,credits,7/22/2019,CUST-00424,10016536228_43621_43650_43668_credits,10.00%,1,110
10016539461_43621_43649_43668_credits_000001,10016539461,6/5/2019,7/3/2019,671,-54.93,credits,7/22/2019,CUST-00425,10016539461_43621_43649_43668_credits,10.00%,1,111
10017020933_43621_43648_43668_credits_000001,10017020933,6/5/2019,7/2/2019,432,-41.75,credits,7/22/2019,CUST-00426,10017020933_43621_43648_43668_credits,10.00%,1,112
10018677384_43621_43648_43668_credits_000001,10018677384,6/5/2019,7/2/2019,649,-62.7,credits,7/22/2019,CUST-00428,10018677384_43621_43648_43668_credits,10.00%,1,113
10018730928_43621_43648_43668_credits_000001,10018730928,6/5/2019,7/2/2019,213,-20.57,credits,7/22/2019,CUST-00430,10018730928_43621_43648_43668_credits,10.00%,1,114
10018730936_43621_43648_43668_credits_000001,10018730936,6/5/2019,7/2/2019,655,-62.67,credits,7/22/2019,CUST-00430,10018730936_43621_43648_43668_credits,10.00%,1,115
10034205046_43621_43649_43668_credits_000001,10034205046,6/5/2019,7/3/2019,1031,-99.89,credits,7/22/2019,CUST-00438,10034205046_43621_43649_43668_credits,10.00%,1,116
10040008442_43621_43648_43668_credits_000001,10040008442,6/5/2019,7/2/2019,413,-39.89,credits,7/22/2019,CUST-00696,10040008442_43621_43648_43668_credits,10.00%,1,117
10042864925_43621_43647_43668_credits_000001,10042864925,6/5/2019,7/1/2019,328,-31.6,credits,7/22/2019,CUST-00695,10042864925_43621_43647_43668_credits,10.00%,1,118
10044681038_43621_43649_43668_credits_000001,10044681038,6/5/2019,7/3/2019,78,-7.55,credits,7/22/2019,CUST-00445,10044681038_43621_43649_43668_credits,10.00%,1,119
10045594784_43621_43651_43668_credits_000001,10045594784,6/5/2019,7/5/2019,221,-21.38,credits,7/22/2019,CUST-00686,10045594784_43621_43651_43668_credits,10.00%,1,120
10045900999_43621_43648_43668_credits_000001,10045900999,6/5/2019,7/2/2019,207,-20.01,credits,7/22/2019,CUST-00434,10045900999_43621_43648_43668_credits,10.00%,1,121
10046339114_43621_43647_43668_credits_000001,10046339114,6/5/2019,7/1/2019,1571,-151.38,credits,7/22/2019,CUST-00782,10046339114_43621_43647_43668_credits,10.00%,1,122
10011798575_43622_43649_43668_credits_000001,10011798575,6/6/2019,7/3/2019,86,-8.35,credits,7/22/2019,CUST-00749,10011798575_43622_43649_43668_credits,10.00%,1,123
10011869822_43622_43649_43668_credits_000001,10011869822,6/6/2019,7/3/2019,524,-50.71,credits,7/22/2019,CUST-00436,10011869822_43622_43649_43668_credits,10.00%,1,124
10018993179_43622_43649_43668_credits_000001,10018993179,6/6/2019,7/3/2019,68,-6.5,credits,7/22/2019,CUST-00401,10018993179_43622_43649_43668_credits,10.00%,1,125
10034487305_43622_43649_43668_credits_000001,10034487305,6/6/2019,7/3/2019,114,-11.03,credits,7/22/2019,CUST-00439,10034487305_43622_43649_43668_credits,10.00%,1,126
10035080836_43622_43649_43668_credits_000001,10035080836,6/6/2019,7/3/2019,417,-40.36,credits,7/22/2019,CUST-00694,10035080836_43622_43649_43668_credits,10.00%,1,127
10035080844_43622_43649_43668_credits_000001,10035080844,6/6/2019,7/3/2019,142,-13.78,credits,7/22/2019,CUST-00694,10035080844_43622_43649_43668_credits,10.00%,1,128
10037053864_43622_43643_43668_credits_000001,10037053864,6/6/2019,6/27/2019,376,-36.27,credits,7/22/2019,CUST-00418,10037053864_43622_43643_43668_credits,10.00%,1,129
10037053864_43622_43643_43668_credits_000002,10037053864,6/6/2019,6/27/2019,376,-36.27,credits,7/22/2019,CUST-00418,10037053864_43622_43643_43668_credits,10.00%,2,130
10037447009_43622_43649_43668_credits_000001,10037447009,6/6/2019,7/3/2019,295,-28.54,credits,7/22/2019,CUST-00440,10037447009_43622_43649_43668_credits,10.00%,1,131
10040046400_43622_43651_43668_credits_000001,10040046400,6/6/2019,7/5/2019,935,-90.37,credits,7/22/2019,CUST-00442,10040046400_43622_43651_43668_credits,10.00%,1,132
10041041798_43622_43651_43668_credits_000001,10041041798,6/6/2019,7/5/2019,1284,-124.08,credits,7/22/2019,CUST-00443,10041041798_43622_43651_43668_credits,10.00%,1,133
10043821809_43622_43648_43668_credits_000001,10043821809,6/6/2019,7/2/2019,266,-25.67,credits,7/22/2019,CUST-00444,10043821809_43622_43648_43668_credits,10.00%,1,134
10044744968_43622_43649_43668_credits_000001,10044744968,6/6/2019,7/3/2019,704,-68.14,credits,7/22/2019,CUST-00454,10044744968_43622_43649_43668_credits,10.00%,1,135
10045476818_43622_43647_43668_credits_000001,10045476818,6/6/2019,7/1/2019,102,-9.81,credits,7/22/2019,CUST-00446,10045476818_43622_43647_43668_credits,10.00%,1,136
10045994455_43622_43647_43668_credits_000001,10045994455,6/6/2019,7/1/2019,258,-24.83,credits,7/22/2019,CUST-00447,10045994455_43622_43647_43668_credits,10.00%,1,137
10046412648_43622_43648_43668_credits_000001,10046412648,6/6/2019,7/2/2019,420,-40.53,credits,7/22/2019,CUST-00692,10046412648_43622_43648_43668_credits,10.00%,1,138
10047401244_43622_43648_43668_credits_000001,10047401244,6/6/2019,7/2/2019,2778,-268.12,credits,7/22/2019,CUST-00711,10047401244_43622_43648_43668_credits,10.00%,1,139
10047936041_43622_43651_43668_credits_000001,10047936041,6/6/2019,7/5/2019,402,-38.83,credits,7/22/2019,CUST-00416,10047936041_43622_43651_43668_credits,10.00%,1,140
10045920245_43622_43654_43668_credits_000001,10045920245,6/6/2019,7/8/2019,641,-61.66,credits,7/22/2019,CUST-00775,10045920245_43622_43654_43668_credits,10.00%,1,141
10011868667_43622_43649_43668_credits_000001,10011868667,6/6/2019,7/3/2019,719,-70.01,credits,7/22/2019,CUST-00435,10011868667_43622_43649_43668_credits,10.00%,1,142
10048290422_43623_43655_43668_credits_000001,10048290422,6/7/2019,7/9/2019,97,-9.35,credits,7/22/2019,CUST-00752,10048290422_43623_43655_43668_credits,10.00%,1,143
10012613989_43623_43651_43668_credits_000001,10012613989,6/7/2019,7/5/2019,315,-30.21,credits,7/22/2019,CUST-00448,10012613989_43623_43651_43668_credits,10.00%,1,144
10012614359_43623_43651_43668_credits_000001,10012614359,6/7/2019,7/5/2019,210,-20.28,credits,7/22/2019,CUST-00449,10012614359_43623_43651_43668_credits,10.00%,1,145
10013808471_43623_43654_43668_credits_000001,10013808471,6/7/2019,7/8/2019,336,-32.3,credits,7/22/2019,CUST-00689,10013808471_43623_43654_43668_credits,10.00%,1,146
10015368623_43623_43651_43668_credits_000001,10015368623,6/7/2019,7/5/2019,681,-65.74,credits,7/22/2019,CUST-00451,10015368623_43623_43651_43668_credits,10.00%,1,147
10017963488_43623_43654_43668_credits_000001,10017963488,6/7/2019,7/8/2019,681,-65.44,credits,7/22/2019,CUST-00457,10017963488_43623_43654_43668_credits,10.00%,1,148
10018133768_43623_43654_43668_credits_000001,10018133768,6/7/2019,7/8/2019,772,-74.19,credits,7/22/2019,CUST-00458,10018133768_43623_43654_43668_credits,10.00%,1,149
10018133768_43623_43656_43668_credits_000001,10018133768,6/7/2019,7/10/2019,364,-35.16,credits,7/22/2019,CUST-00458,10018133768_43623_43656_43668_credits,10.00%,1,150
10019094316_43623_43647_43668_credits_000001,10019094316,6/7/2019,7/1/2019,542,-52.09,credits,7/22/2019,CUST-00437,10019094316_43623_43647_43668_credits,10.00%,1,151
10029650685_43623_43651_43668_credits_000001,10029650685,6/7/2019,7/5/2019,452,-37.39,credits,7/22/2019,CUST-00448,10029650685_43623_43651_43668_credits,10.00%,1,152
10034144757_43623_43651_43668_credits_000001,10034144757,6/7/2019,7/5/2019,530,-44.56,credits,7/22/2019,CUST-00705,10034144757_43623_43651_43668_credits,10.00%,1,153
10036588134_43623_43651_43668_credits_000001,10036588134,6/7/2019,7/5/2019,646,-52.49,credits,7/22/2019,CUST-00453,10036588134_43623_43651_43668_credits,10.00%,1,154
